Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	42	65	9	3	1	0	0	0	0	0	0	0	0	0	0	0	0	9762764	
1	1	A	1	N	2500	0	40	652	1909	114	31	26	0	0	0	0	0	0	0	0	0	0	0	0	9762779	
2	1	A	1	N	2500	0	40	25	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9763325	
3	1	A	1	N	2500	0	40	574	2040	122	41	32	0	0	0	0	0	0	0	0	0	0	0	0	9763419	
4	1	A	1	N	2500	0	40	618	2507	119	43	30	0	0	0	0	0	0	0	0	0	0	0	0	9763918	
5	1	A	1	N	2500	0	40	1074	2670	124	50	39	0	0	0	0	0	0	0	0	0	0	0	0	9764012	
6	1	A	1	N	2500	0	40	59	48	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9764012	
7	1	A	1	N	2500	0	40	24	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9764012	
8	1	A	1	N	2500	0	40	31	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9764012	
9	1	A	1	N	2500	0	40	96	79	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9764012	
10	1	A	1	N	2500	0	40	309	1600	103	32	21	0	0	0	0	0	0	0	0	0	0	0	0	9764137	
11	1	A	1	N	2500	0	40	345	298	5	3	5	0	0	0	0	0	0	0	0	0	0	0	0	9764137	
12	1	A	1	N	2500	0	40	21	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9764137	
13	1	A	1	N	2500	0	40	70	58	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9764137	
14	1	A	1	N	2500	0	40	53	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9764137	
15	1	A	1	N	2500	0	40	30	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9764137	
16	1	A	1	N	2500	0	40	37	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9764137	
17	1	A	1	N	2500	0	40	543	1776	112	33	29	0	0	0	0	0	0	0	0	0	0	0	0	9764261	
18	1	A	1	N	2500	0	40	904	2677	218	51	44	0	0	0	0	0	0	0	0	0	0	0	0	9764417	
19	1	A	1	N	2500	0	40	459	1566	99	36	29	0	0	0	0	0	0	0	0	0	0	0	0	9764667	
