Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	26	48	9	12	13	0	0	0	0	0	0	0	0	0	0	0	0	8671228	
1	1	A	1	N	2500	0	40	437	981	63	21	19	0	0	0	0	0	0	0	0	0	0	0	0	8671446	
2	1	A	1	N	2500	0	40	24	41	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	8672632	
3	1	A	1	N	2500	0	40	488	1077	49	17	15	0	0	0	0	0	0	0	0	0	0	0	0	8672757	
4	1	A	1	N	2500	0	40	664	1485	55	25	24	0	0	0	0	0	0	0	0	0	0	0	0	8672772	
5	1	A	1	N	2500	0	40	633	1550	77	29	27	0	0	0	0	0	0	0	0	0	0	0	0	8672772	
6	1	A	1	N	2500	0	40	499	1187	49	23	20	0	0	0	0	0	0	0	0	0	0	0	0	8672866	
7	1	A	1	N	2500	0	40	23	25	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8673006	
8	1	A	1	N	2500	0	40	685	1545	69	27	26	0	0	0	0	0	0	0	0	0	0	0	0	8673006	
9	1	A	1	N	2500	0	40	217	684	26	17	16	0	0	0	0	0	0	0	0	0	0	0	0	8673256	
10	1	A	1	N	2500	0	40	464	1086	53	20	17	0	0	0	0	0	0	0	0	0	0	0	0	8673506	
11	1	A	1	N	2500	0	40	410	1025	50	21	17	0	0	0	0	0	0	0	0	0	0	0	0	8673897	
12	1	A	1	N	2500	0	40	582	1500	55	26	24	0	0	0	0	0	0	0	0	0	0	0	0	8673928	
13	1	A	1	N	2500	0	40	430	988	35	16	14	0	0	0	0	0	0	0	0	0	0	0	0	8674146	
14	1	A	1	N	2500	0	40	61	77	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	8674458	
15	1	A	1	N	2500	0	40	469	1018	42	18	18	0	0	0	0	0	0	0	0	0	0	0	0	8674521	
16	1	A	1	N	2500	0	40	606	1450	40	18	17	0	0	0	0	0	0	0	0	0	0	0	0	8674739	
17	1	A	1	N	2500	0	40	406	891	34	17	18	0	0	0	0	0	0	0	0	0	0	0	0	8675020	
18	1	A	1	N	2500	0	40	37	76	8	8	8	0	0	0	0	0	0	0	0	0	0	0	0	8675145	
19	1	A	1	N	2500	0	40	683	1554	55	23	24	0	0	0	0	0	0	0	0	0	0	0	0	8675441	
20	1	A	1	N	2500	0	40	764	1834	79	33	29	0	0	0	0	0	0	0	0	0	0	0	0	8675675	
21	1	A	1	N	2500	0	40	430	1222	65	21	20	0	0	0	0	0	0	0	0	0	0	0	0	8675878	
22	1	A	1	N	2500	0	40	572	1405	64	28	25	0	0	0	0	0	0	0	0	0	0	0	0	8676174	
23	1	A	1	N	2500	0	40	270	1170	71	26	27	0	0	0	0	0	0	0	0	0	0	0	0	8676268	
24	1	A	1	N	2500	0	40	308	755	34	14	15	0	0	0	0	0	0	0	0	0	0	0	0	8676283	
