Id	Plate	Row	Column	Clog	Scan rate	Status sort	Status sel	TOF	EXT	Green	Yellow	Red	PH Ext	PW Ext	PC Ext	PH Green	PW Green	PCGreen	PH Yellow	PW Yellow	PCYellow	PH Red	PW Red	PCRed	Time Stamp	
0	1	A	1	N	2500	0	40	207	737	32	10	9	0	0	0	0	0	0	0	0	0	0	0	0	12349998	
1	1	A	1	N	2500	0	40	586	1184	31	12	14	0	0	0	0	0	0	0	0	0	0	0	0	12350637	
2	1	A	1	N	2500	0	40	410	915	26	11	13	0	0	0	0	0	0	0	0	0	0	0	0	12352150	
3	1	A	1	N	2500	0	40	32	32	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12352275	
4	1	A	1	N	2500	0	40	306	720	20	10	9	0	0	0	0	0	0	0	0	0	0	0	0	12353008	
5	1	A	1	N	2500	0	40	577	1121	31	14	15	0	0	0	0	0	0	0	0	0	0	0	0	12353196	
6	1	A	1	N	2500	0	40	295	900	31	13	13	0	0	0	0	0	0	0	0	0	0	0	0	12353539	
7	1	A	1	N	2500	0	40	345	659	23	10	10	0	0	0	0	0	0	0	0	0	0	0	0	12353617	
8	1	A	1	N	2500	0	40	142	506	47	19	9	0	0	0	0	0	0	0	0	0	0	0	0	12353632	
9	1	A	1	N	2500	0	40	577	1270	45	19	19	0	0	0	0	0	0	0	0	0	0	0	0	12353804	
10	1	A	1	N	2500	0	40	36	66	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	12354210	
11	1	A	1	N	2500	0	40	316	844	35	18	17	0	0	0	0	0	0	0	0	0	0	0	0	12354225	
12	1	A	1	N	2500	0	40	350	702	26	10	12	0	0	0	0	0	0	0	0	0	0	0	0	12354272	
13	1	A	1	N	2500	0	40	213	628	25	8	7	0	0	0	0	0	0	0	0	0	0	0	0	12354475	
14	1	A	1	N	2500	0	40	185	669	28	10	7	0	0	0	0	0	0	0	0	0	0	0	0	12354646	
15	1	A	1	N	2500	0	40	505	1101	40	16	10	0	0	0	0	0	0	0	0	0	0	0	0	12354803	
16	1	A	1	N	2500	0	40	356	1091	44	15	13	0	0	0	0	0	0	0	0	0	0	0	0	12354975	
17	1	A	1	N	2500	0	40	459	810	31	12	12	0	0	0	0	0	0	0	0	0	0	0	0	12355178	
18	1	A	1	N	2500	0	40	428	820	25	9	10	0	0	0	0	0	0	0	0	0	0	0	0	12355256	
19	1	A	1	N	2500	0	40	402	868	29	14	16	0	0	0	0	0	0	0	0	0	0	0	0	12355474	
20	1	A	1	N	2500	0	40	526	986	20	8	10	0	0	0	0	0	0	0	0	0	0	0	0	12355927	
21	1	A	1	N	2500	0	40	463	681	31	10	11	0	0	0	0	0	0	0	0	0	0	0	0	12356129	
22	1	A	1	N	2500	0	40	396	777	21	9	10	0	0	0	0	0	0	0	0	0	0	0	0	12356800	
23	1	B	1	N	2500	0	40	25	40	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12364510	
24	1	B	1	N	2500	0	40	338	652	20	8	8	0	0	0	0	0	0	0	0	0	0	0	0	12364572	
25	1	B	1	N	2500	0	40	66	108	11	5	2	0	0	0	0	0	0	0	0	0	0	0	0	12364822	
26	1	B	1	N	2500	0	40	53	75	7	3	1	0	0	0	0	0	0	0	0	0	0	0	0	12364822	
